1,258,-263,2257,23.0,26.4,352.41,70.0,51.0|0.407
1,245,-249,2236,23.0,26.4,352.41,70.0,51.0|0.408
1,225,-226,2220,23.0,26.4,352.41,70.0,51.0|0.408
1,222,-225,2216,23.0,26.4,352.41,70.0,51.0|0.408
1,221,-206,2215,23.0,26.4,352.41,70.0,51.0|0.409
1,220,-225,2211,23.0,26.4,352.41,70.0,51.0|0.407
1,221,-225,2215,23.0,26.4,352.41,70.0,51.0|0.408
1,224,-226,2219,23.0,26.4,352.41,70.0,51.0|0.407
1,226,-225,2220,23.0,26.4,352.41,70.0,51.0|0.408
1,224,-225,2220,23.0,26.4,352.41,70.0,51.0|0.408
1,223,-206,2219,23.0,26.4,352.41,70.0,51.0|0.406
1,221,-225,2220,23.0,26.4,352.41,70.0,51.0|0.408
1,222,-226,2218,23.0,26.4,352.41,70.0,51.0|0.406
1,221,-226,2210,23.0,26.4,352.41,70.0,51.0|0.408
1,220,-205,2203,23.0,26.4,352.41,70.0,51.0|0.408
1,221,-206,2213,23.0,26.4,352.41,70.0,51.0|0.408
1,222,-225,2219,23.0,26.4,352.41,70.0,51.0|0.408
1,223,-225,2212,23.0,26.4,352.41,70.0,51.0|0.407
1,220,-225,2219,23.0,26.4,352.41,70.0,51.0|0.408
1,221,-226,2219,23.0,26.4,352.41,70.0,51.0|0.407
1,225,-226,2209,23.0,26.4,352.41,70.0,51.0|0.407
1,222,-225,2213,23.0,26.4,352.41,70.0,51.0|0.407
1,221,-226,2216,23.0,26.4,352.41,70.0,51.0|0.41
1,223,-225,2218,23.0,26.4,352.41,70.0,51.0|0.406
1,224,-225,2218,23.0,26.4,352.41,70.0,51.0|0.408
1,221,-226,2221,23.0,26.4,352.41,70.0,51.0|0.409
1,222,-225,2215,23.0,26.4,352.41,70.0,51.0|0.406
1,222,-225,2214,23.0,26.4,352.41,70.0,51.0|0.407
1,234,-239,2223,23.0,26.4,352.41,70.0,51.0|0.408
1,373,-323,2256,23.0,26.4,352.41,70.0,51.0|0.406
1,393,-333,2257,23.0,26.4,352.41,70.0,51.0|0.407
1,411,-348,2261,23.0,26.4,352.41,70.0,51.0|0.407
1,444,-397,2243,23.0,26.4,352.41,70.0,51.0|0.407
1,482,-509,2237,23.0,26.4,352.41,70.0,51.0|0.411
1,507,-716,2205,23.0,26.4,352.41,70.0,51.0|0.409
1,506,-751,2209,23.0,26.4,352.41,70.0,51.0|0.407
1,481,-866,2225,23.0,26.4,352.41,70.0,51.0|0.411
1,436,-1001,2237,23.0,26.4,352.41,70.0,51.0|0.412
1,406,-1103,2229,23.0,26.4,352.41,70.0,51.0|0.411
1,401,-1142,2222,23.0,26.4,352.41,70.0,51.0|0.408
1,383,-1264,2221,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-1149,2223,23.0,26.4,352.41,70.0,51.0|0.407
1,387,-1318,2211,23.0,26.4,352.41,70.0,51.0|0.408
1,374,-1332,2196,23.0,26.4,352.41,70.0,51.0|0.407
1,392,-1401,2198,23.0,26.4,352.41,70.0,51.0|0.41
1,405,-1519,2194,23.0,26.4,352.41,70.0,51.0|0.406
1,272,-1519,2203,23.0,26.4,352.41,70.0,51.0|0.406
1,273,-1416,2203,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1542,2184,23.0,26.4,352.41,70.0,51.0|0.412
1,273,-1585,2178,23.0,26.4,352.41,70.0,51.0|0.409
1,273,-1653,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1672,2179,23.0,26.4,352.41,70.0,51.0|0.409
1,273,-1739,2147,23.0,26.4,352.41,70.0,51.0|0.407
