1,251,-185,2240,23.0,26.4,352.41,70.0,51.0|0.411
1,251,-187,2245,23.0,26.4,352.41,70.0,51.0|0.409
1,251,-186,2246,23.0,26.4,352.41,70.0,51.0|0.407
1,250,-185,2244,23.0,26.4,352.41,70.0,51.0|0.408
1,253,-185,2241,23.0,26.4,352.41,70.0,51.0|0.407
1,252,-186,2241,23.0,26.4,352.41,70.0,51.0|0.408
1,253,-185,2242,23.0,26.4,352.41,70.0,51.0|0.408
1,251,-185,2239,23.0,26.4,352.41,70.0,51.0|0.407
1,251,-185,2239,23.0,26.4,352.41,70.0,51.0|0.407
1,251,-185,2239,23.0,26.4,352.41,70.0,51.0|0.409
1,250,-185,2243,23.0,26.4,352.41,70.0,51.0|0.407
1,268,-205,2226,23.0,26.4,352.41,70.0,51.0|0.408
1,352,-254,2206,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-261,2195,23.0,26.4,352.41,70.0,51.0|0.407
1,389,-262,2198,23.0,26.4,352.41,70.0,51.0|0.407
1,406,-315,2194,23.0,26.4,352.41,70.0,51.0|0.408
1,443,-494,2200,23.0,26.4,352.41,70.0,51.0|0.407
1,451,-376,2198,23.0,26.4,352.41,70.0,51.0|0.407
1,443,-619,2186,23.0,26.4,352.41,70.0,51.0|0.408
1,444,-741,2191,23.0,26.4,352.41,70.0,51.0|0.409
1,445,-770,2193,23.0,26.4,352.41,70.0,51.0|0.407
1,420,-1007,2205,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1126,2194,23.0,26.4,352.41,70.0,51.0|0.408
1,393,-1136,2181,23.0,26.4,352.41,70.0,51.0|0.408
1,400,-1163,2186,23.0,26.4,352.41,70.0,51.0|0.41
1,385,-1293,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,385,-1299,2065,23.0,26.4,352.41,70.0,51.0|0.407
1,387,-1334,2066,23.0,26.4,352.41,70.0,51.0|0.408
1,393,-1519,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,393,-1519,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,393,-1519,2065,23.0,26.4,352.41,70.0,51.0|0.407
1,393,-1519,2065,23.0,26.4,352.41,70.0,51.0|0.412
1,393,-1519,2065,23.0,26.4,352.41,70.0,51.0|0.406
1,405,-1842,2025,23.0,26.4,352.41,70.0,51.0|0.408
1,389,-1920,1995,23.0,26.4,352.41,70.0,51.0|0.411
1,385,-1946,1990,23.0,26.4,352.41,70.0,51.0|0.407
1,391,-2049,1951,23.0,26.4,352.41,70.0,51.0|0.41
1,391,-2049,1951,23.0,26.4,352.41,70.0,51.0|0.407
1,388,-2200,1965,23.0,26.4,352.41,70.0,51.0|0.407
1,409,-2309,1955,23.0,26.4,352.41,70.0,51.0|0.408
1,438,-2408,1975,23.0,26.4,352.41,70.0,51.0|0.409
1,468,-2448,1995,23.0,26.4,352.41,70.0,51.0|0.411
1,459,-2508,2002,23.0,26.4,352.41,70.0,51.0|0.407
1,491,-2568,1988,23.0,26.4,352.41,70.0,51.0|0.408
1,566,-2633,1810,23.0,26.4,352.41,70.0,51.0|0.406
1,659,-2799,1810,23.0,26.4,352.41,70.0,51.0|0.409
1,647,-2714,1921,23.0,26.4,352.41,70.0,51.0|0.407
1,692,-2799,1919,23.0,26.4,352.41,70.0,51.0|0.407
1,761,-2892,1939,23.0,26.4,352.41,70.0,51.0|0.407
1,799,-2945,1935,23.0,26.4,352.41,70.0,51.0|0.408
1,882,-2958,1931,23.0,26.4,352.41,70.0,51.0|0.407
1,916,-3004,1971,23.0,26.4,352.41,70.0,51.0|0.408
1,925,-3068,1967,23.0,26.4,352.41,70.0,51.0|0.408
