1,263,-121,2228,23.0,26.4,352.41,70.0,51.0|0.407
1,261,-121,2231,23.0,26.4,352.41,70.0,51.0|0.408
1,263,-119,2228,23.0,26.4,352.41,70.0,51.0|0.407
1,263,-119,2230,23.0,26.4,352.41,70.0,51.0|0.408
1,263,-120,2229,23.0,26.4,352.41,70.0,51.0|0.404
1,263,-120,2230,23.0,26.4,352.41,70.0,51.0|0.408
1,264,-122,2229,23.0,26.4,352.41,70.0,51.0|0.409
1,264,-121,2225,23.0,26.4,352.41,70.0,51.0|0.408
1,287,-153,2227,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-254,2234,23.0,26.4,352.41,70.0,51.0|0.407
1,274,-288,2228,23.0,26.4,352.41,70.0,51.0|0.407
1,414,-372,2227,23.0,26.4,352.41,70.0,51.0|0.409
1,422,-495,2222,23.0,26.4,352.41,70.0,51.0|0.409
1,449,-497,2244,23.0,26.4,352.41,70.0,51.0|0.407
1,457,-572,2237,23.0,26.4,352.41,70.0,51.0|0.408
1,451,-637,2223,23.0,26.4,352.41,70.0,51.0|0.408
1,434,-771,2221,23.0,26.4,352.41,70.0,51.0|0.407
1,417,-880,2213,23.0,26.4,352.41,70.0,51.0|0.408
1,395,-1105,2228,23.0,26.4,352.41,70.0,51.0|0.406
1,274,-1167,2227,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1256,2226,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1335,2223,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1360,2215,23.0,26.4,352.41,70.0,51.0|0.408
1,404,-1418,2203,23.0,26.4,352.41,70.0,51.0|0.408
1,393,-1513,2184,23.0,26.4,352.41,70.0,51.0|0.408
1,388,-1557,2180,23.0,26.4,352.41,70.0,51.0|0.407
1,375,-1623,130,23.0,26.4,352.41,70.0,51.0|0.408
1,373,-1638,2064,23.0,26.4,352.41,70.0,51.0|0.407
1,387,-1654,2195,23.0,26.4,352.41,70.0,51.0|0.407
1,400,-1658,2208,23.0,26.4,352.41,70.0,51.0|0.409
1,361,-1612,4449,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-1519,4449,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1506,275,23.0,26.4,352.41,70.0,51.0|0.409
1,273,-1484,4451,23.0,26.4,352.41,70.0,51.0|0.408
1,273,-1506,4451,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-1485,4451,23.0,26.4,352.41,70.0,51.0|0.407
1,264,-1484,278,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-1538,2184,23.0,26.4,352.41,70.0,51.0|0.407
1,393,-1826,2105,23.0,26.4,352.41,70.0,51.0|0.409
1,273,-1807,2042,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1803,2101,23.0,26.4,352.41,70.0,51.0|0.41
1,400,-1803,2168,23.0,26.4,352.41,70.0,51.0|0.408
1,404,-1800,2148,23.0,26.4,352.41,70.0,51.0|0.408
1,386,-1803,2177,23.0,26.4,352.41,70.0,51.0|0.407
1,403,-1805,2105,23.0,26.4,352.41,70.0,51.0|0.408
1,403,-1805,2105,23.0,26.4,352.41,70.0,51.0|0.407
1,405,-1798,2118,23.0,26.4,352.41,70.0,51.0|0.407
1,405,-1798,2118,23.0,26.4,352.41,70.0,51.0|0.409
1,406,-1802,2100,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1811,2103,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1857,2105,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1866,2077,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1866,2077,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1867,2113,23.0,26.4,352.41,70.0,51.0|0.409
1,272,-1865,2100,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1868,2060,23.0,26.4,352.41,70.0,51.0|0.41
1,272,-1869,2073,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1866,2104,23.0,26.4,352.41,70.0,51.0|0.409
1,272,-1869,2059,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1869,2059,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1867,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1867,2062,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1864,2103,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1866,2075,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1867,2105,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-1866,2113,23.0,26.4,352.41,70.0,51.0|0.409
1,272,-1864,2102,23.0,26.4,352.41,70.0,51.0|0.408
